ID,Accession,Year,Plot,Block,Replicate,Repeat,A_sat,gs_sat,C_i_sat,iWUE_sat,SLA,C_i,Nit,V_pmax,V_max,S.Lim.,A_400,gs_w,iWUE,alpha_l,KS_l,R2_l,alpha_h,KS_h,R2_h,alpha_t,KS_t,R2_t
2021_2085_2,SSA_233,2021,2085,5,2,2,24.21943765,0.131723869,83.68385953,183.8652161,115.3271028,,,,,,,,,2.1707091133158753,0.08504394777858126,0.8049545586293277,4.14984755550793,0.1128569256194902,0.8121913029342543,3.345237010178174,0.24821687190193975,0.8118009593285241
2021_1146_1,SSA_144,2021,1146,2,1,1,19.31284706,0.137794081,157.5246672,140.1573048,108.722467,,,,,,,,,2.1785681342139784,0.08190199406037402,0.8161775151546299,4.17932174046687,0.11597137158060294,0.7905195772292973,2.9605520819871445,0.19368390074368458,0.7351189631349547
2021_1146_2,SSA_144,2021,1146,2,1,2,11.34221793,0.079399606,155.7592978,142.8498003,101.147541,,,,,,,,,2.197725618191173,0.07905989682007941,0.8217106895413664,4.283102379659195,0.11641194281683298,0.8407966295036923,3.0971826580212833,0.2085009457697753,0.7854998923660554
2021_1146_3,SSA_144,2021,1146,2,1,3,16.75363064,0.09439597,97.64036737,177.4824778,125.2791878,,,,,,,,,2.1372297953204735,0.07523462150080906,0.8111214553041348,3.8952360826726244,0.1092402084896878,0.7628186445810179,3.3298411374210084,0.24075202312394972,0.7789687805174592
2021_2058_1,SSA_144,2021,2058,2,2,1,18.50197866,0.102580501,92.4196057,180.3654538,122.7860697,,,,,,,,,2.1386631683472954,0.07779028347216344,0.8041306654150359,3.810713696216628,0.10734839852355724,0.8558851787920854,2.9276801641853725,0.19420545904160014,0.8434916726132298
2021_2058_2,SSA_144,2021,2058,2,2,2,17.55200952,0.080521856,33.25777993,217.9782031,106.3793103,,,,,,,,,2.108752869579947,0.06941035683637897,0.8021986712206339,3.686774519239875,0.10325950170795636,0.8116781122841654,2.93203707044372,0.18728334821918846,0.8075629231565652
2021_2058_3,SSA_144,2021,2058,2,2,3,24.55723845,0.149944574,115.9967252,163.7754389,130.5820106,,,,,,,,,2.1441421373079317,0.07614888544526566,0.8090180850214679,3.9339987351590504,0.10923021851887119,0.8548750438353335,3.0221329259591183,0.20376118560638568,0.8352090877669575
2021_1147_1,SSA_060,2021,1147,3,1,1,,,,,125.2791878,,,,,,,,,2.121947836372539,0.0855533145777585,0.7792671696149445,3.7936923415272443,0.10382407588901343,0.8584763991689874,3.1243751804529385,0.22914870773582696,0.883539988059176
2021_1147_2,SSA_060,2021,1147,3,1,2,,,,,148.6746988,,,,,,,,,2.106367879960031,0.08533527716666522,0.7642652976184768,3.667811929649288,0.10414469712875019,0.8275209954908966,3.1465623735215327,0.23425744447635533,0.861752444980154
2021_1147_3,SSA_060,2021,1147,3,1,3,,,,,134.1304348,,,,,,,,,2.1316812098305573,0.08427869376424146,0.7775758732268723,3.908824002473306,0.10783147070260274,0.8155908033319664,3.3268207527643767,0.24583669502645977,0.8457771899869683
2021_2126_1,SSA_060,2021,2126,6,2,1,,,,,169.0410959,,,,,,,,,2.099643291358731,0.08832940746400741,0.7611154097658405,3.620180520788927,0.10356188795316384,0.8434918491804053,2.957019110668276,0.21269912062754193,0.8700435484561672
2021_2126_2,SSA_060,2021,2126,6,2,2,,,,,138.6516854,,,,,,,,,2.1405481702472766,0.08558970570579327,0.7857989352172867,3.9420094259322,0.1085055653691809,0.8331781423172785,3.355633184380721,0.25182475793215175,0.8440652419397953
2021_2126_3,SSA_060,2021,2126,6,2,3,,,,,137.1111111,,,,,,,,,2.1902253531951867,0.08900646758717112,0.801599790320497,4.253298399981434,0.11548794817091604,0.8493574957809411,3.3412426646539277,0.24643071982893028,0.8355835862480095
2021_1148_1,SSA_252,2021,1148,4,1,1,,,,,127.2164948,46.069226,3.7028703,,,,,,,2.1829640771668304,0.08749230164754052,0.8108640442595111,4.28794620256029,0.11522911075171882,0.8660811633023446,2.8418194957888425,0.18444699237561402,0.8407020168166182
2021_1148_2,SSA_252,2021,1148,4,1,2,,,,,147.7844311,46.0970128,3.6191842,,,,,,,2.168726782184039,0.09367793959604875,0.7853702395411379,4.238641138435541,0.11390246966118867,0.8168099485551159,2.9553722547603503,0.20811058540469207,0.7720362217900926
2021_1148_3,SSA_252,2021,1148,4,1,3,,,,,124.6464646,47.6693011,4.0524215,,,,,,,2.225487483648853,0.08192990457243188,0.8324429491917475,4.4772549555355825,0.11741480241409491,0.8829544540023168,2.858952010039298,0.17748173408076984,0.8455869157094157
2021_2268_1,SSA_252,2021,2268,4,2,1,,,,,127.8756477,38.2270917,3.0775702,,,,,,,2.246164863229677,0.08890480544793944,0.7723359072868794,3.447750543321121,0.058655702367630624,0.8730133606106878,2.760723157014291,0.16479229180639487,0.8625383897457981
2021_2268_2,SSA_252,2021,2268,4,2,2,,,,,120.9803922,45.3269568,3.6990124,,,,,,,2.2239375405506503,0.08659987080267606,0.8259960030290059,4.481794963773473,0.11722846783550811,0.8700456016995637,2.7993996522523927,0.17112285030113905,0.8532440485983657
2021_2268_3,SSA_252,2021,2268,4,2,3,,,,,155.2201258,44.3204759,3.4798708,,,,,,,2.227314560443126,0.0998892392816847,0.8191567282063239,4.5167947975445255,0.11684415671963977,0.8700242403861007,2.799013423481146,0.18513028128582942,0.8417350680849791
2021_1149_1,SSA_033,2021,1149,5,1,1,15.77610133,0.077464953,56.94068799,203.6546938,129.2146597,43.86,2.42,45.45822975,20.32822682,0.201266272,14.96715137,0.079639576,187.9361006,2.1792524782590976,0.08821813561554925,0.8113149390366943,4.144692212137168,0.11389063545653297,0.7920545949250238,3.4051018765621133,0.2548275836034085,0.7867546849645
2021_1149_2,SSA_033,2021,1149,5,1,2,22.66193535,0.117214043,69.33689422,193.3380579,139.4350282,41.26,2.73,29.50941111,23.5535458,0.209712054,15.83217558,0.115562927,137.0004723,2.145020183918295,0.08386360248389713,0.7865606428462735,3.9832651132713566,0.11014363702698804,0.8054604852344185,3.4926935549836813,0.26033342768978784,0.8195654975086543
2021_1149_3,SSA_033,2021,1149,5,1,3,24.12773355,0.207824953,193.2110661,116.0964222,104.1350211,40.85,2.82,64.85049394,31.51415638,0.169739054,25.13411531,0.155403469,161.7345834,2.1497316303109897,0.06928219141833458,0.8141512102393896,4.050329811746621,0.11268780766064224,0.8506004072913179,2.9191442879526024,0.18064871964758744,0.7877735357775122
